store_name,StoreNumber,State,City,Address,HighwayOrExit,Zip,Latitude,Longitude,DEFLanes,ParkingSpaces,StoreType,Phone,Fax,Unleaded,Midgrade,Premium,Diesel,Blend,Propane,BulkDEF,Restaurants
Love's Travel Center,448,WA,Tacoma,1501 33rd Ave E,I-5 / 136B EB/136 WB,98424,47.245328,-122.384434,8,160,Travel Stop,(253) 922-8884,(253) 922-2256,4.159,4.509,4.809,5.189,,4.599,4.289,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,454,WA,Napavine,1276 Rush Rd,I-5 / 72,98532,46.603206,-122.908266,8,76,Travel Stop,(360) 748-6597,(360) 748-6659,3.999,4.349,4.649,5.289,,4.599,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,413,WA,Ellensburg,1512 Hwy 97,I-90 / 106,98926,47.007647,-120.585862,6,85,Travel Stop,(509) 925-5200,(509) 925-5308,4.199,4.499,4.799,5.049,B20,,4.589,"Subway,Chicken Drumsticks,Sandwiches"
Love's Travel Center,827,WA,Moses Lake,4315 Prichard Rd,I-90 / 174,98837,47.102584,-119.341493,9,80,Travel Stop,(509) 761-5419,(509) 761-5420,3.929,4.229,4.529,5.049,,,4.589,"Taco John's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches"
Love's Travel Center,301,ID,Post Falls,4208 W Expo Pkwy,I-90 / 2,83854,47.711161,-117.00409,8,90,Travel Stop,(208) 773-4577,(208) 773-4425,2.959,3.259,3.559,4.149,,3.999,4.289,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,449,OR,Troutdale,400 NW Frontage Rd,I-84 / 17,97060,45.543612,-122.391721,8,96,Travel Stop,(503) 665-7741,(503) 666-4999,3.599,3.949,4.249,4.289,B20,4.599,4.489,"Chester's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,514,WA,Ritzville,1370 N Highway 261,I-90 / 221,99169,47.11319,-118.36694,8,86,Travel Stop,(509) 659-1005,(509) 659-1023,4.089,4.389,4.689,4.989,B20,3.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,681,WA,Prosser,700 Wine Country Rd,I-82 / 80 @ Gap Rd,99350,46.219559,-119.79295,7,66,Travel Stop,(509) 786-1293,(509) 786-1248,3.999,4.299,4.599,5.049,B20,3.999,4.189,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,728,OR,Albany,6457 Old Salem Rd NE,I-5 / 238/Old Salem Rd,97321,44.698743,-123.055073,8,72,Travel Stop,(541) 928-1900,(541) 928-7035,3.699,4.049,4.349,4.189,B20,3.999,4.489,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,811,WA,Pasco,2252 E Kartchner St,US Hwy-395 / Kartchner St,99301,46.264151,-119.082472,7,57,Travel Stop,(509) 412-6432,(509) 412-6433,4.199,4.499,4.799,5.049,,3.999,4.189,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
